company,model_name,year,age,kms_driven,fuel_type,transmission,owner,Price,name,source,price_lakh
Maruti Suzuki,Ciaz,2015,11,68000,Petrol,Manual,first,313500,Maruti Suzuki Ciaz,kaggle_market,3.14
Ford,Ecosport,2018,8,73000,Petrol,Automatic,first,560500,Ford Ecosport,kaggle_market,5.6
Honda,City,2011,15,74000,Petrol,Automatic,second,356250,Honda City,kaggle_market,3.56
Maruti Suzuki,Swift,2018,8,65000,Petrol,Automatic,second,560500,Maruti Suzuki Swift,kaggle_market,5.6
Audi,A4,2021,5,50000,Petrol,Automatic,first,3087500,Audi A4,kaggle_market,30.88
Honda,City,2014,12,61000,Petrol,Automatic,first,650750,Honda City,kaggle_market,6.51
Maruti Suzuki,Swift,2005,21,98000,Petrol,Manual,second,152000,Maruti Suzuki Swift,kaggle_market,1.52
Mahindra,Xuv500,2017,9,76000,Diesel,Automatic,second,722000,Mahindra Xuv500,kaggle_market,7.22
Mahindra,Xuv500,2016,10,89100,Diesel,Manual,second,722000,Mahindra Xuv500,kaggle_market,7.22
Volkswagen,Polo,2018,8,73961,Petrol,Automatic,second,888250,Volkswagen Polo,kaggle_market,8.88
Ford,Endeavour,2019,7,60000,Diesel,Automatic,first,2603000,Ford Endeavour,kaggle_market,26.03
Mahindra,Thar,2018,8,46850,Diesel,Manual,second,836000,Mahindra Thar,kaggle_market,8.36
Mahindra,Thar,2023,3,28000,Diesel,Automatic,first,1695750,Mahindra Thar,kaggle_market,16.96
Mahindra,Xuv500,2013,13,99000,Diesel,Manual,second,446500,Mahindra Xuv500,kaggle_market,4.46
Maruti Suzuki,Sx4,2009,17,56328,Petrol,Manual,first,251750,Maruti Suzuki Sx4,kaggle_market,2.52
Hyundai,Creta,2018,8,127000,Diesel,Manual,first,945250,Hyundai Creta,kaggle_market,9.45
Mercedes-Benz,C-Class,2013,13,78000,Petrol,Automatic,second,750500,Mercedes-Benz C-Class,kaggle_market,7.5
Toyota,Innova Crysta,2022,4,31000,Diesel,Automatic,first,2565000,Toyota Innova Crysta,kaggle_market,25.65
Skoda,Kodiaq,2020,6,57000,Diesel,Automatic,first,2892750,Skoda Kodiaq,kaggle_market,28.93
Ford,Endeavour,2017,9,70000,Diesel,Automatic,second,2517500,Ford Endeavour,kaggle_market,25.18
Hyundai,Eon,2014,12,41453,Petrol,Manual,second,209000,Hyundai Eon,kaggle_market,2.09
Tata,Altroz,2021,5,33000,Petrol,Manual,first,517750,Tata Altroz,kaggle_market,5.18
Maruti Suzuki,Celerio,2018,8,37000,Petrol,Automatic,second,437000,Maruti Suzuki Celerio,kaggle_market,4.37
Volkswagen,Polo,2015,11,65000,Petrol,Manual,first,356250,Volkswagen Polo,kaggle_market,3.56
Hyundai,Grand I10 Nios,2022,4,36000,Petrol,Automatic,first,655500,Hyundai Grand I10 Nios,kaggle_market,6.56
Toyota,Camry,2016,10,130000,Petrol,Automatic,second,1329999,Toyota Camry,kaggle_market,13.3
Maruti Suzuki,Alto-800,2013,13,100000,Petrol,Manual,second,152000,Maruti Suzuki Alto-800,kaggle_market,1.52
Bmw,X1,2016,10,93000,Diesel,Automatic,first,1995000,Bmw X1,kaggle_market,19.95
Hyundai,Creta,2019,7,48000,Diesel,Manual,first,1011750,Hyundai Creta,kaggle_market,10.12
Bmw,X5,2016,10,63000,Diesel,Automatic,second,2175500,Bmw X5,kaggle_market,21.76
Hyundai,I20,2015,11,85000,Diesel,Manual,second,532000,Hyundai I20,kaggle_market,5.32
Skoda,Rapid,2017,9,70000,Diesel,Automatic,first,712500,Skoda Rapid,kaggle_market,7.12
Hyundai,Verna,2013,13,59000,Petrol,Manual,second,403750,Hyundai Verna,kaggle_market,4.04
Mahindra,Tuv,2015,11,72000,Diesel,Automatic,second,370500,Mahindra Tuv,kaggle_market,3.7
Mercedes-Benz,E-Class,2012,14,74000,Diesel,Automatic,second,1230250,Mercedes-Benz E-Class,kaggle_market,12.3
Honda,City,2018,8,78127,Diesel,Manual,first,745750,Honda City,kaggle_market,7.46
Maruti Suzuki,Ciaz,2020,6,26000,Petrol,Manual,first,736250,Maruti Suzuki Ciaz,kaggle_market,7.36
Renault,Kwid,2017,9,65663,Petrol,Automatic,second,308750,Renault Kwid,kaggle_market,3.09
Bmw,5 Series,2018,8,24000,Petrol,Automatic,first,3989050,Bmw 5 Series,kaggle_market,39.89
Toyota,Fortuner,2015,11,160000,Diesel,Automatic,second,1187500,Toyota Fortuner,kaggle_market,11.88
Volkswagen,Polo,2020,6,79000,Petrol,Manual,second,688750,Volkswagen Polo,kaggle_market,6.89
Maruti Suzuki,Baleno,2018,8,31000,Petrol,Manual,first,521550,Maruti Suzuki Baleno,kaggle_market,5.22
Hyundai,Creta,2019,7,55000,Diesel,Automatic,first,1234999,Hyundai Creta,kaggle_market,12.35
Maruti Suzuki,Swift Dzire,2015,11,89000,Diesel,Manual,second,409450,Maruti Suzuki Swift Dzire,kaggle_market,4.09
Hyundai,Alcazar,2022,4,37000,Diesel,Automatic,first,1729000,Hyundai Alcazar,kaggle_market,17.29
Maruti Suzuki,Alto K10,2016,10,56000,Petrol,Manual,first,261250,Maruti Suzuki Alto K10,kaggle_market,2.61
Mercedes-Benz,M-Class,2015,11,75000,Diesel,Automatic,first,2327500,Mercedes-Benz M-Class,kaggle_market,23.28
Honda,Brio,2014,12,32001,Petrol,Manual,second,280250,Honda Brio,kaggle_market,2.8
Maruti Suzuki,Swift-Dzire,2024,2,22000,Petrol,Manual,first,247000,Maruti Suzuki Swift-Dzire,kaggle_market,2.47
Hyundai,I20,2010,16,45000,Petrol,Manual,second,142500,Hyundai I20,kaggle_market,1.42
Toyota,Fortuner,2021,5,60000,Petrol,Automatic,first,3040000,Toyota Fortuner,kaggle_market,30.4
Kia,Seltos,2021,5,41000,Petrol,Automatic,first,1320500,Kia Seltos,kaggle_market,13.2
Volkswagen,Polo,2015,11,51000,Petrol,Manual,second,474999,Volkswagen Polo,kaggle_market,4.75
Toyota,Glanza,2021,5,28000,Petrol,Automatic,second,712500,Toyota Glanza,kaggle_market,7.12
Bmw,5 Series,2019,7,38000,Diesel,Automatic,first,4227500,Bmw 5 Series,kaggle_market,42.28
Skoda,Rapid,2019,7,64800,Diesel,Automatic,first,759050,Skoda Rapid,kaggle_market,7.59
Jeep,Compass,2022,4,17300,Petrol,Automatic,first,1895250,Jeep Compass,kaggle_market,18.95
Volkswagen,Ventotest,2013,13,38000,Petrol,Manual,first,277400,Volkswagen Ventotest,kaggle_market,2.77
Honda,City,2011,15,95000,Petrol,Automatic,second,266000,Honda City,kaggle_market,2.66
Honda,Brio,2012,14,72000,Petrol,Manual,first,156750,Honda Brio,kaggle_market,1.57
Maruti Suzuki,Ertiga,2016,10,135000,Diesel,Manual,second,831250,Maruti Suzuki Ertiga,kaggle_market,8.31
Toyota,Etios,2012,14,135000,Diesel,Manual,second,375250,Toyota Etios,kaggle_market,3.75
Volkswagen,Ventotest,2019,7,160000,Diesel,Manual,first,660250,Volkswagen Ventotest,kaggle_market,6.6
Tata,Harrier,2022,4,14000,Diesel,Automatic,first,1781250,Tata Harrier,kaggle_market,17.81
Kia,Seltos,2020,6,50200,Petrol,Automatic,first,1235000,Kia Seltos,kaggle_market,12.35
Maruti Suzuki,Alto-800,2014,12,47000,Petrol,Manual,first,242250,Maruti Suzuki Alto-800,kaggle_market,2.42
Honda,City,2011,15,59600,Petrol,Manual,second,199500,Honda City,kaggle_market,2.0
